gen,pop,iq,iq_b,truth,error
5,302,98.9,94.5,1,0.000
6,311,98.7,94.0,1,0.000
7,318,98.6,93.2,1,0.000
8,326,98.4,93.6,1,0.000
9,338,98.4,93.5,4,0.000
10,339,98.3,93.5,4,0.000
11,348,98.2,93.5,5,0.000
12,353,98.1,93.5,5,0.000
13,356,98.1,93.3,6,0.000
14,366,98.2,93.5,6,0.000
15,371,98.3,93.5,6,0.000
16,379,98.2,93.7,7,0.000
17,385,98.1,93.7,7,0.000
18,389,98.1,93.7,7,0.000
19,392,98.0,93.8,7,0.000
20,397,97.9,93.8,7,0.000
21,400,97.9,93.7,8,0.000
22,404,98.1,93.8,8,0.000
23,409,98.0,94.1,10,0.000
24,411,98.0,94.1,10,0.000
25,415,97.9,93.9,10,0.000
26,420,97.8,93.7,10,0.000
27,423,97.8,93.6,11,0.000
28,425,97.8,93.6,11,0.000
29,426,97.8,93.6,11,0.000
30,428,97.8,93.6,11,0.000
31,429,97.7,93.5,12,0.000
32,431,97.7,93.5,14,0.000
33,435,97.7,93.7,14,0.000
34,437,97.7,93.7,14,0.000
35,442,97.7,93.6,14,0.000
36,442,97.7,93.6,16,0.000
37,445,97.7,93.7,18,0.000
38,448,97.7,93.8,19,0.000
39,450,97.7,93.8,20,0.000
40,452,97.6,93.9,20,0.000
41,454,97.6,93.9,23,0.000
42,456,97.5,93.8,24,0.000
43,457,97.4,93.8,24,0.000
44,457,97.4,93.8,24,0.000
45,459,97.5,93.8,26,0.038
46,459,97.5,93.8,26,0.038
47,463,97.4,93.6,28,0.036
48,466,97.5,93.6,29,0.034
49,469,97.5,93.8,29,0.034
50,471,97.6,93.7,31,0.032
51,472,97.6,93.8,31,0.032
52,474,97.7,93.8,33,0.030
53,477,97.6,93.8,38,0.053
54,479,97.6,93.8,41,0.049
55,480,97.6,93.9,42,0.071
56,480,97.6,93.9,42,0.071
57,481,97.6,93.9,42,0.071
58,481,97.6,93.9,42,0.071
59,482,97.6,94.0,43,0.070
60,484,97.5,93.9,43,0.070
61,486,97.5,93.9,44,0.068
62,486,97.5,93.9,46,0.065
63,486,97.5,93.9,47,0.064
64,487,97.5,93.8,47,0.064
65,487,97.5,93.8,48,0.062
66,487,97.5,93.8,48,0.062
67,487,97.5,93.8,50,0.060
68,489,97.4,93.7,50,0.060
69,489,97.4,93.7,50,0.060
70,489,97.4,93.7,52,0.077
71,489,97.4,93.7,53,0.075
72,490,97.4,93.7,56,0.071
73,490,97.4,93.7,57,0.070
74,490,97.4,93.7,58,0.069
75,490,97.4,93.7,60,0.067
76,490,97.4,93.7,60,0.067
77,490,97.4,93.7,63,0.079
78,491,97.4,93.6,64,0.078
79,492,97.4,93.7,65,0.077
80,492,97.4,93.7,68,0.074
81,494,97.4,93.6,68,0.074
82,494,97.4,93.6,70,0.071
83,494,97.4,93.6,70,0.071
84,494,97.4,93.6,71,0.070
85,495,97.3,93.6,75,0.067
86,495,97.3,93.6,75,0.067
87,495,97.3,93.6,77,0.065
88,495,97.3,93.6,77,0.065
89,495,97.3,93.6,77,0.065
90,495,97.3,93.6,77,0.065
91,495,97.3,93.6,78,0.064
92,495,97.3,93.6,84,0.083
93,495,97.3,93.6,86,0.081
94,495,97.3,93.6,86,0.081
95,495,97.3,93.6,88,0.080
96,496,97.3,93.6,91,0.077
97,496,97.3,93.6,91,0.077
98,496,97.3,93.6,91,0.077
99,496,97.3,93.6,94,0.074
100,497,97.3,93.6,95,0.074
101,497,97.3,93.6,97,0.072
102,497,97.3,93.6,99,0.071
103,498,97.3,93.7,100,0.070
104,498,97.3,93.7,100,0.070
105,498,97.3,93.7,103,0.068
106,499,97.3,93.7,105,0.086
107,499,97.3,93.7,105,0.086
108,499,97.3,93.7,109,0.110
109,499,97.3,93.7,109,0.110
110,499,97.3,93.7,110,0.109
111,499,97.3,93.7,117,0.120
112,499,97.3,93.7,120,0.117
113,499,97.3,93.7,123,0.122
114,499,97.3,93.7,123,0.122
115,499,97.3,93.7,126,0.119
116,499,97.3,93.7,126,0.119
117,499,97.3,93.7,126,0.119
118,499,97.3,93.7,127,0.118
119,499,97.3,93.7,127,0.118
120,499,97.3,93.7,127,0.118
121,499,97.3,93.7,129,0.116
122,499,97.3,93.7,129,0.116
123,499,97.3,93.7,129,0.116
124,499,97.3,93.7,131,0.115
125,499,97.3,93.7,132,0.114
126,499,97.3,93.7,132,0.114
127,499,97.3,93.7,133,0.113
128,499,97.3,93.7,135,0.111
129,499,97.3,93.7,135,0.111
130,499,97.3,93.7,136,0.110
131,499,97.3,93.7,136,0.110
132,499,97.3,93.7,136,0.110
133,499,97.3,93.7,138,0.109
134,499,97.3,93.7,140,0.107
135,499,97.3,93.7,142,0.106
136,499,97.3,93.7,143,0.105
137,499,97.3,93.7,144,0.104
138,499,97.3,93.7,145,0.103
139,499,97.3,93.7,147,0.102
140,499,97.3,93.7,149,0.101
141,499,97.3,93.7,149,0.101
142,499,97.3,93.7,152,0.099
143,500,97.2,93.7,153,0.098
144,500,97.2,93.7,153,0.098
145,500,97.2,93.7,153,0.098
146,500,97.2,93.7,154,0.097
147,500,97.2,93.7,155,0.103
148,500,97.2,93.7,155,0.103
149,500,97.2,93.7,155,0.103
150,500,97.2,93.7,155,0.103
151,500,97.2,93.7,155,0.103
152,500,97.2,93.7,155,0.103
153,500,97.2,93.7,158,0.101
154,500,97.2,93.7,158,0.101
155,500,97.2,93.7,159,0.101
156,500,97.2,93.7,163,0.098
157,500,97.2,93.7,163,0.098
158,500,97.2,93.7,164,0.098
159,500,97.2,93.7,168,0.101
160,500,97.2,93.7,172,0.099
161,500,97.2,93.7,173,0.098
162,500,97.2,93.7,173,0.098
163,500,97.2,93.7,173,0.098
164,500,97.2,93.7,173,0.098
165,500,97.2,93.7,178,0.112
166,500,97.2,93.7,178,0.112
167,500,97.2,93.7,180,0.111
168,500,97.2,93.7,181,0.110
169,500,97.2,93.7,182,0.110
170,500,97.2,93.7,182,0.110
171,500,97.2,93.7,185,0.108
172,500,97.2,93.7,186,0.108
173,500,97.2,93.7,186,0.108
174,500,97.2,93.7,186,0.108
175,500,97.2,93.7,187,0.107
176,500,97.2,93.7,187,0.107
177,500,97.2,93.7,187,0.107
178,500,97.2,93.7,187,0.107
179,500,97.2,93.7,187,0.107
180,500,97.2,93.7,190,0.105
181,500,97.2,93.7,190,0.105
182,500,97.2,93.7,191,0.105
183,500,97.2,93.7,192,0.104
184,500,97.2,93.7,197,0.107
185,500,97.2,93.7,197,0.107
186,500,97.2,93.7,197,0.107
187,500,97.2,93.7,197,0.107
188,500,97.2,93.7,197,0.107
189,500,97.2,93.7,198,0.106
190,500,97.2,93.7,199,0.106
191,500,97.2,93.7,203,0.103
192,500,97.2,93.7,204,0.103
193,500,97.2,93.7,204,0.103
194,500,97.2,93.7,205,0.102
195,500,97.2,93.7,205,0.102
196,500,97.2,93.7,205,0.102
197,500,97.2,93.7,205,0.102
198,500,97.2,93.7,205,0.102
199,500,97.2,93.7,205,0.102
200,382,95.9,93.6,153,0.118
201,323,94.7,93.4,113,0.133
202,293,94.4,93.2,97,0.134
203,276,93.9,93.1,86,0.140
204,268,94.5,93.2,78,0.090
205,269,94.9,93.1,77,0.091
206,268,94.9,93.2,75,0.093
207,269,95.0,93.0,70,0.100
208,270,94.7,92.9,68,0.103
209,265,94.5,93.0,64,0.094
210,271,94.6,92.8,62,0.097
211,274,94.3,92.8,60,0.100
212,272,94.5,92.8,56,0.089
213,279,94.4,92.7,53,0.094
214,285,94.3,92.7,52,0.096
215,294,94.5,92.7,51,0.098
216,300,94.2,92.6,47,0.106
217,305,94.4,92.5,43,0.116
218,314,94.4,92.4,46,0.109
219,319,94.5,92.5,45,0.111
220,323,94.4,92.4,45,0.133
221,325,94.3,92.3,38,0.132
222,330,94.3,92.4,36,0.139
223,333,94.3,92.3,34,0.118
224,340,94.5,92.2,33,0.121
225,343,94.3,92.2,30,0.133
226,349,94.5,92.3,29,0.138
227,355,94.6,92.2,30,0.133
228,357,94.8,92.2,31,0.097
229,363,94.8,92.2,32,0.094
230,371,94.7,92.1,31,0.097
231,375,94.8,92.1,32,0.062
232,378,94.6,92.1,31,0.065
233,381,94.4,92.0,29,0.069
234,386,94.4,92.0,28,0.071
235,387,94.3,92.0,27,0.074
236,390,94.3,92.0,27,0.074
237,391,94.3,92.0,28,0.071
238,393,94.3,92.0,28,0.071
239,394,94.4,92.0,27,0.074
240,396,94.2,92.0,26,0.077
241,406,94.1,91.9,27,0.111
242,406,94.3,91.9,27,0.111
243,409,94.4,91.9,27,0.111
244,411,94.4,91.9,27,0.074
245,412,94.3,91.9,26,0.038
246,414,94.2,91.9,25,0.040
247,418,94.1,91.9,25,0.040
248,418,94.0,91.9,25,0.040
249,419,94.1,91.9,25,0.040
250,420,94.1,91.9,24,0.042
251,421,94.1,91.9,26,0.038
252,422,94.0,91.9,27,0.037
253,425,93.9,91.9,27,0.037
254,424,93.8,91.8,26,0.038
255,424,93.8,91.8,28,0.036
256,427,93.9,91.8,25,0.040
257,427,93.9,91.8,26,0.038
258,432,93.9,91.8,24,0.042
259,433,93.9,91.8,24,0.042
260,438,93.8,91.9,24,0.042
261,438,93.9,91.9,25,0.040
262,442,94.0,92.0,25,0.040
263,443,93.9,91.9,26,0.038
264,446,93.9,91.9,28,0.036
265,447,94.0,91.9,29,0.034
266,447,93.9,91.9,29,0.034
267,451,93.8,91.9,31,0.032
268,451,93.9,91.9,31,0.032
269,451,93.9,91.9,31,0.032
270,454,93.9,91.9,31,0.032
271,457,94.1,91.9,33,0.061
272,459,94.1,91.9,33,0.061
273,460,94.1,91.9,33,0.061
274,460,94.0,91.8,33,0.061
275,461,94.0,91.8,33,0.061
276,461,94.0,91.8,33,0.061
277,462,94.0,91.8,33,0.061
278,463,94.0,91.8,39,0.077
279,464,93.9,91.8,39,0.077
280,464,93.9,91.8,38,0.079
281,463,93.9,91.8,39,0.077
282,465,94.0,91.8,39,0.077
283,466,93.9,91.8,39,0.077
284,467,94.0,91.7,44,0.068
285,467,94.0,91.7,47,0.064
286,470,93.9,91.7,47,0.064
287,471,94.0,91.7,48,0.062
288,474,94.0,91.7,49,0.061
289,474,94.0,91.7,49,0.061
290,477,94.0,91.7,50,0.060
291,481,94.0,91.7,51,0.059
292,483,94.1,91.7,51,0.059
293,483,94.1,91.7,52,0.058
294,483,94.1,91.7,52,0.058
295,484,94.1,91.7,52,0.058
296,486,94.0,91.7,52,0.058
297,488,94.1,91.6,52,0.058
298,489,94.1,91.6,56,0.071
299,489,94.1,91.6,56,0.071
300,489,94.1,91.6,56,0.071
301,488,94.1,91.6,56,0.071
302,488,94.1,91.6,56,0.071
303,488,94.1,91.6,56,0.071
304,487,94.1,91.6,58,0.086
305,488,94.1,91.6,58,0.086
306,488,94.1,91.6,62,0.113
307,487,94.1,91.6,62,0.113
308,488,94.1,91.6,62,0.113
309,488,94.1,91.6,62,0.113
310,488,94.1,91.6,62,0.113
311,488,94.1,91.6,62,0.113
312,488,94.1,91.6,62,0.113
313,488,94.1,91.6,63,0.111
314,488,94.1,91.6,63,0.111
315,488,94.1,91.6,63,0.111
316,489,94.1,91.6,64,0.109
317,490,94.1,91.6,65,0.108
318,491,94.0,91.6,70,0.114
319,491,94.0,91.6,70,0.114
320,491,94.0,91.6,70,0.114
321,491,94.0,91.6,74,0.108
322,493,94.0,91.6,74,0.108
323,493,94.0,91.6,76,0.105
324,493,94.0,91.6,77,0.104
325,493,94.0,91.6,77,0.104
326,493,94.0,91.6,77,0.104
327,493,94.0,91.6,78,0.115
328,493,94.0,91.6,79,0.114
329,493,94.0,91.6,79,0.114
330,493,94.0,91.6,80,0.113
331,494,93.9,91.6,80,0.113
332,494,93.9,91.6,81,0.111
333,494,93.9,91.6,82,0.110
334,494,93.9,91.6,82,0.110
335,494,93.9,91.6,83,0.108
336,495,93.8,91.6,83,0.108
337,495,93.8,91.6,85,0.106
338,496,93.8,91.6,86,0.105
339,497,93.9,91.6,86,0.105
340,497,93.9,91.6,86,0.105
341,497,93.9,91.6,86,0.105
342,497,93.9,91.6,87,0.103
343,497,93.9,91.6,88,0.102
344,496,93.9,91.6,88,0.102
345,496,93.9,91.6,89,0.101
346,496,93.9,91.6,89,0.101
347,496,93.9,91.6,89,0.101
348,496,93.9,91.6,89,0.101
349,496,93.9,91.6,92,0.098
350,496,93.9,91.6,93,0.097
351,496,93.9,91.6,93,0.097
352,496,93.9,91.6,93,0.097
353,496,93.9,91.6,93,0.097
354,497,93.9,91.6,93,0.097
355,498,93.9,91.6,93,0.097
356,498,93.9,91.6,93,0.097
357,498,93.9,91.6,96,0.094
358,498,93.9,91.6,98,0.092
359,498,93.9,91.6,98,0.092
360,498,93.9,91.6,98,0.092
361,499,93.9,91.6,98,0.092
362,499,93.9,91.6,98,0.092
363,499,93.9,91.6,99,0.091
364,500,94.0,91.6,99,0.091
365,500,94.0,91.6,99,0.091
366,500,94.0,91.6,100,0.090
367,500,94.0,91.6,102,0.088
368,500,94.0,91.6,102,0.088
369,500,94.0,91.6,102,0.088
370,500,94.0,91.6,102,0.088
371,500,94.0,91.6,102,0.088
372,500,94.0,91.6,102,0.088
373,500,94.0,91.6,102,0.088
374,500,94.0,91.6,102,0.088
375,500,94.0,91.6,102,0.088
376,500,94.0,91.6,103,0.087
377,500,94.0,91.6,103,0.087
378,500,94.0,91.6,109,0.092
379,500,94.0,91.6,110,0.091
380,500,94.0,91.6,115,0.096
381,500,94.0,91.6,116,0.095
382,500,94.0,91.6,116,0.095
383,500,94.0,91.6,116,0.095
384,500,94.0,91.6,116,0.095
385,500,94.0,91.6,117,0.094
386,500,94.0,91.6,117,0.094
387,500,94.0,91.6,117,0.094
388,500,94.0,91.6,118,0.093
389,500,94.0,91.6,118,0.093
390,500,94.0,91.6,118,0.093
391,500,94.0,91.6,118,0.093
392,500,94.0,91.6,118,0.093
393,500,94.0,91.6,121,0.099
394,500,94.0,91.6,122,0.098
395,500,94.0,91.6,123,0.098
396,500,94.0,91.6,125,0.096
397,500,94.0,91.6,125,0.096
398,500,94.0,91.6,125,0.096
399,500,94.0,91.6,126,0.095
400,497,94.0,91.6,126,0.095
401,490,94.1,91.6,125,0.096
402,481,94.3,91.6,126,0.095
403,473,94.1,91.6,124,0.097
404,467,93.9,91.6,123,0.098
405,458,93.8,91.5,121,0.091
406,451,93.7,91.5,123,0.098
407,444,93.5,91.5,116,0.103
408,435,93.6,91.5,114,0.105
409,428,93.8,91.5,111,0.090
410,423,93.7,91.5,109,0.092
411,415,93.6,91.5,108,0.093
412,412,93.8,91.5,109,0.092
413,406,93.8,91.5,101,0.089
414,398,94.0,91.4,95,0.084
415,391,94.0,91.4,91,0.088
416,388,94.0,91.3,87,0.069
417,380,93.8,91.4,85,0.071
418,376,93.8,91.3,82,0.073
419,372,93.9,91.3,75,0.080
420,366,93.9,91.3,72,0.083
421,362,93.9,91.4,69,0.087
422,360,94.1,91.3,68,0.059
423,357,93.9,91.3,67,0.060
424,356,94.0,91.3,64,0.062
425,354,94.1,91.3,64,0.062
426,351,93.9,91.2,60,0.067
427,350,93.8,91.2,57,0.070
428,351,93.7,91.2,55,0.073
429,353,93.5,91.2,52,0.077
430,352,93.7,91.1,48,0.083
431,355,93.5,91.1,46,0.087
432,358,93.5,91.0,46,0.087
433,357,93.6,91.1,45,0.067
434,355,93.7,91.1,40,0.075
435,361,93.5,91.1,39,0.103
436,363,93.7,91.0,36,0.111
437,369,93.7,91.0,36,0.111
438,372,93.7,91.1,35,0.114
439,375,93.8,91.1,34,0.118
440,378,93.7,91.0,33,0.121
441,377,93.9,91.0,33,0.121
442,382,93.6,91.0,32,0.125
443,385,93.6,91.0,31,0.129
444,391,93.4,90.9,30,0.100
445,391,93.4,91.0,30,0.100
446,392,93.6,90.9,29,0.103
447,397,93.8,90.9,30,0.133
448,397,93.9,90.9,29,0.138
449,401,94.0,91.0,28,0.143
450,401,93.9,91.0,29,0.138
451,400,93.7,91.0,29,0.138
452,401,93.8,91.0,28,0.143
453,400,93.9,91.0,27,0.148
454,402,93.9,91.0,27,0.148
455,407,93.8,90.9,27,0.148
456,408,93.7,90.9,27,0.148
457,410,93.7,90.9,27,0.148
458,410,93.7,90.9,27,0.148
459,412,93.7,90.9,27,0.148
460,415,93.7,90.9,24,0.167
461,414,93.8,90.9,23,0.130
462,414,93.7,90.9,21,0.143
463,417,93.6,90.9,25,0.240
464,422,93.6,91.0,28,0.250
465,426,93.6,91.0,28,0.250
466,431,93.7,91.0,28,0.250
467,431,93.7,91.0,28,0.250
468,433,93.9,91.0,29,0.207
469,435,94.0,91.0,29,0.207
470,437,94.0,91.0,29,0.241
471,438,94.1,91.0,29,0.241
472,437,94.0,91.0,29,0.241
473,439,93.9,91.0,28,0.250
474,441,93.9,90.9,28,0.250
475,443,94.1,90.9,29,0.241
476,443,94.1,90.9,29,0.241
477,445,94.1,90.9,29,0.207
478,445,94.1,90.9,29,0.207
479,447,94.2,90.9,30,0.200
480,448,94.2,90.9,30,0.200
481,451,94.2,90.9,30,0.200
482,453,94.1,90.9,30,0.200
483,453,94.2,90.9,31,0.194
484,453,94.2,90.9,31,0.194
485,458,94.3,91.0,31,0.194
486,457,94.3,91.0,30,0.200
487,456,94.3,90.9,31,0.194
488,454,94.3,90.9,32,0.188
489,455,94.3,90.9,31,0.161
490,454,94.3,90.9,31,0.161
491,453,94.3,91.0,30,0.133
492,452,94.3,91.0,28,0.143
493,452,94.2,91.0,28,0.143
494,454,94.3,91.0,28,0.143
495,456,94.1,91.0,27,0.148
496,456,94.1,91.0,27,0.148
497,454,94.0,91.0,26,0.154
498,456,94.0,90.9,27,0.148
499,458,94.1,91.0,28,0.143
500,458,94.2,91.0,28,0.143
501,460,94.2,91.0,28,0.143
502,463,94.2,91.0,28,0.143
503,464,94.2,91.0,30,0.133
504,464,94.2,91.0,30,0.133
505,465,94.2,91.0,31,0.129
506,465,94.2,91.0,33,0.121
507,467,94.2,90.9,36,0.111
508,471,94.2,90.9,37,0.108
509,476,94.3,90.9,36,0.083
510,477,94.3,90.9,36,0.083
511,478,94.4,90.9,36,0.083
512,480,94.3,90.9,37,0.081
513,483,94.5,90.9,39,0.077
514,484,94.5,90.9,39,0.077
515,484,94.5,90.9,40,0.075
516,484,94.5,90.9,41,0.098
517,483,94.5,90.9,42,0.095
518,482,94.5,90.9,42,0.095
519,481,94.5,90.9,42,0.095
520,481,94.5,90.9,43,0.093
521,484,94.5,90.9,46,0.087
522,483,94.6,90.9,46,0.087
523,484,94.6,90.9,46,0.087
524,484,94.6,90.9,46,0.087
525,484,94.6,90.9,47,0.085
526,484,94.6,90.9,48,0.083
527,485,94.6,90.9,48,0.083
528,485,94.6,90.9,48,0.083
529,486,94.6,90.9,48,0.083
530,488,94.6,90.9,49,0.082
531,489,94.6,90.9,51,0.078
532,489,94.6,90.9,54,0.111
533,488,94.7,90.9,55,0.109
534,489,94.6,90.9,55,0.109
535,489,94.6,90.9,62,0.113
536,490,94.6,90.9,62,0.113
537,489,94.7,90.9,63,0.111
538,490,94.7,90.9,64,0.109
539,490,94.7,90.9,64,0.109
540,490,94.7,90.9,64,0.109
541,490,94.7,90.9,64,0.109
542,490,94.7,90.9,64,0.109
543,491,94.7,90.9,64,0.109
544,491,94.7,90.9,69,0.101
545,492,94.6,90.9,69,0.101
546,492,94.6,90.9,69,0.101
547,492,94.6,90.9,69,0.101
548,494,94.7,90.9,74,0.095
549,494,94.7,90.9,74,0.095
550,495,94.7,90.9,74,0.095
551,495,94.7,90.9,75,0.093
552,495,94.7,90.9,76,0.092
553,495,94.7,90.9,78,0.090
554,495,94.7,90.9,79,0.089
555,494,94.7,90.9,79,0.089
556,494,94.7,90.9,81,0.086
557,494,94.7,90.9,81,0.086
558,494,94.7,90.9,81,0.086
559,494,94.7,90.9,81,0.086
560,494,94.7,90.9,81,0.086
561,494,94.7,90.9,84,0.083
562,493,94.7,90.9,84,0.083
563,493,94.7,90.9,87,0.080
564,494,94.7,90.9,88,0.080
565,493,94.7,90.9,90,0.078
566,493,94.7,90.9,92,0.076
567,493,94.7,90.9,94,0.074
568,493,94.7,90.9,96,0.073
569,495,94.7,90.9,96,0.073
570,495,94.7,90.9,97,0.072
571,496,94.7,90.9,98,0.071
572,497,94.7,90.9,98,0.071
573,497,94.7,90.9,100,0.070
574,497,94.7,90.9,100,0.070
575,498,94.6,90.9,102,0.069
576,498,94.6,90.9,103,0.068
577,498,94.6,90.9,103,0.068
578,498,94.6,90.9,105,0.067
579,498,94.6,90.9,105,0.067
580,498,94.6,90.9,105,0.067
581,498,94.6,90.9,105,0.067
582,498,94.6,90.9,105,0.067
583,498,94.6,90.9,106,0.066
584,498,94.6,90.9,107,0.065
585,498,94.6,90.9,107,0.065
586,498,94.6,90.9,107,0.065
587,498,94.6,90.9,108,0.065
588,498,94.6,90.9,108,0.065
589,498,94.6,90.9,113,0.080
590,498,94.6,90.9,114,0.079
591,498,94.6,90.9,114,0.079
592,498,94.6,90.9,114,0.079
593,498,94.6,90.9,115,0.078
594,498,94.6,90.9,118,0.076
595,498,94.6,90.9,120,0.083
596,499,94.6,90.9,120,0.083
597,499,94.6,90.9,120,0.083
598,499,94.6,90.9,121,0.083
599,499,94.6,90.9,121,0.083
600,499,94.6,90.9,121,0.083
601,499,94.6,90.9,122,0.082
602,499,94.6,90.9,123,0.081
603,499,94.6,90.9,123,0.081
604,497,94.8,90.9,123,0.081
605,495,94.8,90.9,123,0.081
606,492,94.8,90.9,122,0.082
607,490,94.7,90.9,123,0.081
608,489,94.8,90.9,124,0.081
609,488,94.8,90.9,124,0.081
610,487,94.8,90.9,125,0.080
611,487,94.8,90.9,125,0.080
612,485,94.8,90.9,126,0.079
613,484,94.8,90.9,125,0.080
614,481,94.8,90.9,124,0.081
615,477,94.6,90.9,120,0.075
616,472,94.6,90.9,118,0.076
617,470,94.6,90.9,115,0.078
618,464,94.5,90.9,113,0.080
619,458,94.5,90.9,109,0.073
620,456,94.5,90.9,109,0.073
621,451,94.4,90.9,108,0.074
622,446,94.5,90.9,108,0.074
623,444,94.6,90.9,103,0.068
624,439,94.6,90.9,103,0.068
625,436,94.6,90.9,103,0.068
626,432,94.6,90.9,106,0.066
627,430,94.7,90.9,105,0.067
628,429,94.7,90.9,103,0.068
629,424,94.9,90.9,100,0.060
630,420,94.8,90.9,97,0.062
631,418,94.7,90.9,95,0.063
632,413,94.7,90.9,96,0.073
633,411,94.8,90.8,95,0.074
634,409,94.9,90.8,93,0.065
635,405,94.8,90.8,89,0.067
636,399,95.1,90.8,86,0.058
637,393,95.0,90.8,84,0.060
638,394,95.2,90.8,83,0.060
639,396,95.1,90.8,82,0.061
640,393,95.0,90.8,82,0.061
641,390,95.2,90.8,78,0.064
642,389,95.3,90.8,74,0.054
643,388,95.3,90.8,69,0.058
644,383,95.5,90.8,69,0.058
645,382,95.3,90.8,69,0.058
646,384,95.4,90.8,69,0.058
647,383,95.3,90.9,67,0.045
648,384,95.5,90.9,68,0.059
649,386,95.7,90.9,67,0.060
650,387,95.7,90.9,65,0.062
651,393,95.7,90.9,63,0.063
652,396,95.7,90.9,61,0.049
653,393,95.6,90.9,59,0.051
654,399,95.6,90.9,58,0.052
655,403,95.6,90.9,56,0.054
656,404,95.6,90.9,53,0.057
657,403,95.4,90.9,53,0.057
658,406,95.6,91.0,53,0.057
659,408,95.7,91.0,54,0.056
660,404,96.0,91.0,54,0.056
661,407,96.1,91.0,54,0.056
662,406,96.0,91.0,48,0.062
663,404,96.0,91.0,47,0.064
664,408,96.1,91.0,46,0.043
665,405,96.0,91.0,44,0.045
666,402,96.1,91.0,42,0.048
667,399,96.1,91.0,41,0.049
668,400,96.0,91.0,38,0.053
669,399,96.1,91.0,37,0.054
670,399,95.9,90.9,36,0.056
671,399,95.8,90.9,37,0.054
672,400,95.9,90.9,34,0.059
673,402,96.1,90.9,33,0.061
674,403,96.2,90.9,32,0.062
675,402,96.2,90.9,32,0.062
676,404,96.2,90.9,31,0.032
677,407,96.2,91.0,31,0.032
678,408,96.2,91.0,32,0.031
679,411,96.0,90.9,31,0.000
680,416,95.9,91.0,33,0.000
681,417,96.0,90.9,33,0.000
682,422,96.0,90.9,33,0.000
683,424,96.0,90.9,33,0.000
684,424,96.0,90.9,34,0.000
685,425,95.9,90.9,34,0.000
686,423,95.8,90.9,33,0.000
687,423,95.8,90.9,33,0.000
688,427,95.9,90.9,32,0.000
689,428,95.8,90.9,32,0.000
690,433,95.7,90.9,32,0.000
691,434,95.6,90.9,33,0.000
692,435,95.6,90.9,34,0.000
693,435,95.7,90.9,34,0.000
694,438,95.8,90.9,35,0.000
695,441,95.7,90.9,36,0.000
696,441,95.8,90.9,35,0.000
697,446,95.9,90.9,34,0.000
698,447,96.0,90.9,34,0.000
699,450,95.9,90.9,34,0.000
700,449,96.0,90.9,35,0.000
701,448,95.9,90.9,36,0.000
702,445,95.9,90.9,36,0.028
703,449,95.8,90.9,36,0.028
704,449,95.8,90.9,36,0.028
705,448,95.8,90.9,35,0.029
706,451,95.7,90.9,35,0.029
707,451,95.8,90.9,36,0.028
708,449,95.8,90.9,35,0.029
709,449,95.9,90.9,35,0.029
710,452,95.7,90.9,34,0.029
711,453,95.6,90.9,33,0.030
712,454,95.7,90.9,37,0.054
713,453,95.6,90.9,37,0.054
714,453,95.6,90.9,37,0.054
715,452,95.5,90.9,36,0.056
716,451,95.5,90.9,36,0.056
717,452,95.6,90.9,37,0.054
718,455,95.5,90.9,38,0.053
719,456,95.5,90.9,38,0.053
720,457,95.6,90.9,39,0.051
721,457,95.4,90.9,38,0.053
722,458,95.5,90.9,38,0.053
723,459,95.6,90.9,38,0.053
724,459,95.5,90.9,38,0.053
725,461,95.5,90.9,38,0.053
726,462,95.5,90.9,39,0.051
727,463,95.5,90.9,39,0.051
728,465,95.6,90.9,39,0.051
729,465,95.6,90.9,40,0.050
730,464,95.6,90.9,39,0.051
731,465,95.7,90.9,38,0.053
732,466,95.7,90.9,38,0.053
733,466,95.6,90.9,38,0.053
734,468,95.5,90.9,38,0.053
735,468,95.5,90.9,38,0.053
736,472,95.5,90.9,38,0.053
737,473,95.5,90.9,39,0.051
738,476,95.6,90.9,39,0.051
739,475,95.5,90.9,41,0.049
740,475,95.5,90.9,41,0.049
741,474,95.6,90.9,41,0.049
742,475,95.6,90.9,41,0.049
743,476,95.5,90.9,42,0.048
744,475,95.5,90.9,42,0.048
745,477,95.6,90.9,42,0.048
746,477,95.6,90.9,43,0.047
747,477,95.6,90.9,45,0.044
748,477,95.7,90.9,45,0.044
749,476,95.6,90.9,43,0.047
750,477,95.7,90.9,44,0.045
751,478,95.7,90.9,45,0.044
752,478,95.7,90.9,45,0.044
753,478,95.7,90.9,46,0.043
754,478,95.7,90.9,46,0.043
755,479,95.6,90.9,49,0.041
756,481,95.6,90.9,49,0.041
757,482,95.5,90.9,47,0.043
758,483,95.5,90.9,47,0.043
759,484,95.5,90.9,47,0.043
760,484,95.5,90.9,47,0.043
761,484,95.5,90.9,48,0.042
762,484,95.5,90.9,48,0.042
763,484,95.5,90.9,53,0.057
764,484,95.5,90.9,53,0.057
765,484,95.5,90.9,54,0.074
766,485,95.5,90.9,55,0.073
767,485,95.5,90.9,55,0.073
768,486,95.4,90.9,56,0.071
769,485,95.4,90.9,56,0.071
770,484,95.4,90.9,57,0.070
771,486,95.3,90.9,57,0.070
772,486,95.3,90.9,59,0.068
773,485,95.3,90.9,59,0.068
774,485,95.3,90.9,61,0.066
775,485,95.3,90.9,62,0.065
776,486,95.2,90.9,62,0.065
777,485,95.3,90.9,64,0.062
778,486,95.3,90.8,67,0.060
779,487,95.3,90.8,67,0.060
780,488,95.2,90.8,67,0.060
